('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         811495 function calls (787257 primitive calls) in 3.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      339    1.982    0.006    1.982    0.006 {method 'read' of '_ssl._SSLSocket' objects}
      866    0.510    0.001    0.510    0.001 {built-in method posix.stat}
        1    0.232    0.232    0.232    0.232 {built-in method _socket.getaddrinfo}
      166    0.144    0.001    0.144    0.001 {built-in method _io.open_code}
        1    0.054    0.054    0.054    0.054 {method 'connect' of '_socket.socket' objects}
        1    0.054    0.054    0.054    0.054 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      230    0.053    0.000    1.052    0.005 {method 'read' of '_io.BufferedReader' objects}
      166    0.051    0.000    0.051    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.042    0.042    0.042    0.042 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3206    0.033    0.000    0.188    0.000 parser.py:301(parse_starttag)
    29416    0.031    0.000    0.031    0.000 {method 'match' of 're.Pattern' objects}
 4759/198    0.029    0.000    0.083    0.000 _parser.py:512(_parse)
        2    0.024    0.012    0.306    0.153 parser.py:134(goahead)
       20    0.022    0.001    0.022    0.001 {built-in method posix.listdir}
      166    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
 5521/190    0.019    0.000    0.044    0.000 _compiler.py:37(_compile)
     3206    0.016    0.000    0.024    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3206    0.015    0.000    0.086    0.000 __init__.py:987(handle_starttag)
    89694    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
      9/7    0.012    0.001    0.017    0.002 {built-in method _imp.create_dynamic}
     3207    0.011    0.000    0.040    0.000 element.py:1626(__init__)
     3206    0.011    0.000    0.101    0.000 _htmlparser.py:142(handle_starttag)
     6670    0.011    0.000    0.045    0.000 __init__.py:826(endData)
70639/64344    0.011    0.000    0.012    0.000 {built-in method builtins.len}
     9679    0.009    0.000    0.009    0.000 element.py:376(setup)
     3034    0.009    0.000    0.062    0.000 parser.py:379(parse_endtag)
55722/55714    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
    29574    0.008    0.000    0.012    0.000 _parser.py:168(__getitem__)
    17037    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
  547/542    0.008    0.000    0.082    0.000 {built-in method builtins.__build_class__}
